Player,Show,Role,Oneshot,Link
Stephanie Harvey,Misscliks D&D Nimmorgeist,Player,,https://www.youtube.com/playlist?list=PLSOKvcIdcJJf3tMuRrtIE2nPbThLkAEy3
Gen Forget,Misscliks D&D Nimmorgeist,Player,,https://www.youtube.com/playlist?list=PLSOKvcIdcJJf3tMuRrtIE2nPbThLkAEy3
Anna Prosser,Misscliks D&D Nimmorgeist,Player,,https://www.youtube.com/playlist?list=PLSOKvcIdcJJf3tMuRrtIE2nPbThLkAEy3
Stephanie Powell ,Misscliks D&D Nimmorgeist,Player,,https://www.youtube.com/playlist?list=PLSOKvcIdcJJf3tMuRrtIE2nPbThLkAEy3
Steven Lumpkin,Misscliks D&D Nimmorgeist,DM,,https://www.youtube.com/playlist?list=PLSOKvcIdcJJf3tMuRrtIE2nPbThLkAEy3
,,,,
Steve Koontz,Lost in Oz,DM,,https://www.youtube.com/watch?v=Mh33Ji0YcSA&list=PLTj75n3v9eTkBtwQjLCvBhJHQ8at0lYWr
Nolan T. Jones,Lost in Oz,Player,,https://www.youtube.com/watch?v=Mh33Ji0YcSA&list=PLTj75n3v9eTkBtwQjLCvBhJHQ8at0lYWr
Richard Zayas,Lost in Oz,Player,,https://www.youtube.com/watch?v=Mh33Ji0YcSA&list=PLTj75n3v9eTkBtwQjLCvBhJHQ8at0lYWr
Riley Dutto,Lost in Oz,Player,,https://www.youtube.com/watch?v=Mh33Ji0YcSA&list=PLTj75n3v9eTkBtwQjLCvBhJHQ8at0lYWr
Stephanie Avacyn,Lost in Oz,Player,,https://www.youtube.com/watch?v=Mh33Ji0YcSA&list=PLTj75n3v9eTkBtwQjLCvBhJHQ8at0lYWr
,,,,
Adam Koebel,Jace Beleren Must Die,DM,,https://www.youtube.com/watch?v=zGwoqcR2pFc&list=PLTj75n3v9eTmSPHhfxUOr2cTmtfOSTPZK
Carlos Luna,Jace Beleren Must Die,Player,,https://www.youtube.com/watch?v=zGwoqcR2pFc&list=PLTj75n3v9eTmSPHhfxUOr2cTmtfOSTPZK
TK Johnson,Jace Beleren Must Die,Player,,https://www.youtube.com/watch?v=zGwoqcR2pFc&list=PLTj75n3v9eTmSPHhfxUOr2cTmtfOSTPZK
Masood Haque,Jace Beleren Must Die,Player,,https://www.youtube.com/watch?v=zGwoqcR2pFc&list=PLTj75n3v9eTmSPHhfxUOr2cTmtfOSTPZK
Katie Maie,Jace Beleren Must Die,Player,,https://www.youtube.com/watch?v=zGwoqcR2pFc&list=PLTj75n3v9eTmSPHhfxUOr2cTmtfOSTPZK
,,,,
Aabria Iyengar,Saving throw: Ghosts of Saltmarsh,DM,,https://www.youtube.com/watch?v=QxeWfWJ8qdY
Eric Reichert,Saving throw: Ghosts of Saltmarsh,Player,,https://www.youtube.com/watch?v=QxeWfWJ8qdY
Havana Mahoney,Saving throw: Ghosts of Saltmarsh,Player,,https://www.youtube.com/watch?v=QxeWfWJ8qdY
Teri Gamble,Saving throw: Ghosts of Saltmarsh,Player,,https://www.youtube.com/watch?v=QxeWfWJ8qdY
Negaoryx,Saving throw: Ghosts of Saltmarsh,Player,,https://www.youtube.com/watch?v=QxeWfWJ8qdY
,,,,
Dom Zook,Saving throw Sub-a-thon 2020: Session 1,DM,Yes,https://www.youtube.com/watch?v=Qzl4MFeH-S0&list=PLkHjiWAUZQbomckyZRUhcg7W6FhJb66RV&index=2&t=0s
Meghan Caves,Saving throw Sub-a-thon 2020: Session 1,Player,Yes,
Tom Lommel,Saving throw Sub-a-thon 2020: Session 1,Player,Yes,
Aki,Saving throw Sub-a-thon 2020: Session 1,Player,Yes,
Ben Dunn,Saving throw Sub-a-thon 2020: Session 1,Player,Yes,
Eric Reichert,Saving throw Sub-a-thon 2020: Session 1,Player,Yes,
Riley Silverman,Saving throw Sub-a-thon 2020: Session 1,Player,Yes,
Dom Zook,Saving throw Sub-a-thon 2020: Session 2,DM,Yes,https://www.youtube.com/watch?v=cqH2HxwAM3A&list=PLkHjiWAUZQbomckyZRUhcg7W6FhJb66RV&index=3&t=0s
Reuben Bresler,Saving throw Sub-a-thon 2020: Session 2,Player,Yes,
Cynthia Marie,Saving throw Sub-a-thon 2020: Session 2,Player,Yes,
Ryan Omega,Saving throw Sub-a-thon 2020: Session 2,Player,Yes,
Markeia McCarty,Saving throw Sub-a-thon 2020: Session 2,Player,Yes,
NegaOryx,Saving throw Sub-a-thon 2020: Session 2,Player,Yes,
Aabria Iyengar,Saving throw Sub-a-thon 2020: Session 2,Player,Yes,
Dom Zook,Saving throw Sub-a-thon 2020: Session 3,DM,Yes,https://www.youtube.com/watch?v=4wPo3diDy70&list=PLkHjiWAUZQbomckyZRUhcg7W6FhJb66RV&index=4&t=0s
Rick Budd,Saving throw Sub-a-thon 2020: Session 3,Player,Yes,
Michael Holmes,Saving throw Sub-a-thon 2020: Session 3,Player,Yes,
Jason Mills,Saving throw Sub-a-thon 2020: Session 3,Player,Yes,
Wes Otis,Saving throw Sub-a-thon 2020: Session 3,Player,Yes,
Teri Gamble,Saving throw Sub-a-thon 2020: Session 3,Player,Yes,
Jordan Pridgen,Saving throw Sub-a-thon 2020: Session 3,Player,Yes,
Dom Zook,Saving throw Sub-a-thon 2020: Session 4,DM,Yes,https://www.youtube.com/watch?v=c5tJBBaQClE&list=PLkHjiWAUZQbomckyZRUhcg7W6FhJb66RV&index=5&t=0s
Adam Conn,Saving throw Sub-a-thon 2020: Session 4,Player,Yes,
Jim Rodchaver,Saving throw Sub-a-thon 2020: Session 4,Player,Yes,
Eric Radic,Saving throw Sub-a-thon 2020: Session 4,Player,Yes,
Jared Hoy,Saving throw Sub-a-thon 2020: Session 4,Player,Yes,
Jake Kile,Saving throw Sub-a-thon 2020: Session 4,Player,Yes,
B. Dave Walters,Saving throw Sub-a-thon 2020: Session 4,Player,Yes,
,,,,
Dom Zook,Saving throw Sub-a-thon 2020: Session 5,Player,Yes,https://www.youtube.com/watch?v=MzKKeBHh9Uo&list=PLkHjiWAUZQbomckyZRUhcg7W6FhJb66RV&index=6&t=0s
Jordan Caves-Callarman,Saving throw Sub-a-thon 2020: Session 5,Player,Yes,
Meghan Caves,Saving throw Sub-a-thon 2020: Session 5,Player,Yes,
Gaurav Gulati,Saving throw Sub-a-thon 2020: Session 5,Player,Yes,
,,,,
Matthew Mercer,CelebriD&D with Terry Crews,DM,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
Terry Crews,CelebriD&D with Terry Crews,Player,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
Troy Baker,CelebriD&D with Terry Crews,Player,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
Ashly Burch,CelebriD&D with Terry Crews,Player,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
Jessica Chobot,CelebriD&D with Terry Crews,Player,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
Taliesin Jaffe,CelebriD&D with Terry Crews,Player,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
Marisha Ray,CelebriD&D with Terry Crews,Player,Yes,https://www.youtube.com/watch?v=1ntfXLb5eFk
,,,,
Joe Manganiello,CelebriD&D with Joe Manganiello,Player,Yes,https://www.youtube.com/watch?v=4IeEjfbpkt8
Jessica Chobot,CelebriD&D with Joe Manganiello,Player,Yes,https://www.youtube.com/watch?v=4IeEjfbpkt8
Taliesin Jaffe,CelebriD&D with Joe Manganiello,Player,Yes,https://www.youtube.com/watch?v=4IeEjfbpkt8
Marisha Ray,CelebriD&D with Joe Manganiello,Player,Yes,https://www.youtube.com/watch?v=4IeEjfbpkt8
Dan Casey,CelebriD&D with Joe Manganiello,Player,Yes,https://www.youtube.com/watch?v=4IeEjfbpkt8
Matthew Mercer,CelebriD&D with Joe Manganiello,DM,Yes,https://www.youtube.com/watch?v=4IeEjfbpkt8
,,,,
Matthew Mercer,CelebriD&D with Game of Thrones' John Bradley,DM,Yes,https://www.youtube.com/watch?v=QiC0kCceYug
Dan Casey,CelebriD&D with Game of Thrones' John Bradley,Player,Yes,https://www.youtube.com/watch?v=QiC0kCceYug
Liam O’Brien,CelebriD&D with Game of Thrones' John Bradley,Player,Yes,https://www.youtube.com/watch?v=QiC0kCceYug
Laura Bailey,CelebriD&D with Game of Thrones' John Bradley,Player,Yes,https://www.youtube.com/watch?v=QiC0kCceYug
Jessica Chobot,CelebriD&D with Game of Thrones' John Bradley,Player,Yes,https://www.youtube.com/watch?v=QiC0kCceYug
John Bradley,CelebriD&D with Game of Thrones' John Bradley,Player,Yes,https://www.youtube.com/watch?v=QiC0kCceYug
